MESURE_TME,CNTER_NM,AGE_FLAG_NM,MESURE_PLACE_FLAG_NM,MESURE_AGE_CO,INPT_FLAG_NM,COAW_FLAG_NM,MESURE_DE,MVM_PRSCRPTN_CN,SEXDSTN_FLAG_CD
"1","포천","성인","일반","60","관리자","참가","20250203","준비운동:목 스트레칭,등/어깨 뒤쪽 스트레칭,가슴/어깨 앞쪽 스트레칭,아래 팔 스트레칭 / 본운동:굽힘 밸런스운동-60~120도 사이,벌림 밸런스 운동-60~120도 사이,등척성운동-벌림,등척성운동-바깥돌림,등척성운동-안쪽 돌림,윗몸 말아 올리기,앉았다 일어서기,엎드려 버티기,누워서 엉덩이 들어올리기,팔벌려뛰기,버피운동,빠르게 걷기,팔굽혀펴기(무릎대고 실시),실내 자전거타기,트레드밀에서 걷기,계단 올라갔다 내려오기,수영 / 정리운동:유산소 운동 전 동적 루틴 스트레칭,좌식생활자를 위한 동적 루틴 스트레칭 ,작은 공을 이용한 동적 루틴 스트레칭 ,자가근막이완술 루틴 스트레칭,빠르게 걷기,팔굽혀펴기(무릎대고 실시)","F"
"1","서대문","어르신","일반","70","관리자","2등급","20250203","준비운동:고정식 자전거 타기,비복근 스트레칭 / 본운동:앉아서 다리 펴기,엎드려서 다리 굽히기 ,앉아서 다리 밀기 ,덤벨 잡고 뒤꿈치 들기 / 정리운동:고관절 스트레칭,대퇴이두근 스트레칭,엉덩이 스트레칭2,종아리 스트레칭","F"
"2","창원","성인","일반","25","관리자","3등급","20250203","준비운동:등/어깨 뒤쪽 스트레칭,가슴/어깨 앞쪽 스트레칭,허리 스트레칭,배스트레칭 / 본운동:앉았다 일어서면서 점프하기,팔벌려뛰기,버피운동,점프 팔굽혀펴기 / 정리운동:엉덩이 스트레칭,넙다리 뒤쪽 스트레칭,넙다리 앞쪽 스트레칭,넙다리 안쪽 스트레칭","F"
"2","서대문","성인","일반","19","관리자","2등급","20250203","준비운동:등/어깨 뒤쪽 스트레칭,가슴/어깨 앞쪽 스트레칭,하지 루틴 스트레칭1 / 본운동:윗몸 말아 올리기,엎드려 버티기,앉아서 위로 밀기 / 정리운동:유산소 운동 전 동적 루틴 스트레칭","M"
"1","전주","성인","일반","20","관리자","참가","20250203","준비운동:전신 루틴 스트레칭,테이블 이용하여 팔 옆으로 벌리기,수건 이용하여 장딴지 늘리기,밴드잡고 머리 위에서 팔꿈치 펴기,진자운동 / 본운동:달리기,수영,버피운동,점프 팔굽혀펴기,웨이트 트레이닝  루틴프로그램,앉았다 일어서기,윗몸올리기  / 정리운동:전신 루틴 스트레칭","M"
"1","성동","성인","일반","57","관리자","참가","20250203","준비운동:윗몸 말아 올리기","F"
"7","안동","성인","일반","36","관리자","3등급","20250203","준비운동:전신 루틴 스트레칭 / 본운동:턱걸이,달리기,트레드밀에서 걷기,수영,허리 굽혀 덤벨 들기,매달려서 다리 들기 / 정리운동:전신 루틴 스트레칭","M"
"1","충주","성인","일반","25","관리자","참가","20250203","준비운동:유산소 운동 전 동적 루틴 스트레칭,상지 루틴 스트레칭 / 본운동:작은 공을 이용한 동적 루틴 스트레칭 ,저항밴드 운동  루틴프로그램,고정식 자전거 타기,수영,걷기 / 정리운동:하지 루틴 스트레칭2,전신 루틴 스트레칭","M"
"1","동구(인천)","어르신","일반","75","관리자","3등급","20250203","준비운동:어깨 스트레칭,몸통 비틀기,고관절 스트레칭 / 본운동:고정식 트레드밀에서 걷기,스텝박스 오르내리기 ,바벨 잡고 들어올리기,앉아서 다리 펴기 / 정리운동:엉덩이 스트레칭,대퇴사두근 스트레칭,종아리 스트레칭","M"
"1","성동","성인","일반","51","관리자","참가","20250203","준비운동:하지 루틴 스트레칭1,하지 루틴 스트레칭2,상지 루틴 스트레칭,유산소 운동 전 동적 루틴 스트레칭 / 본운동:턱걸이,윗몸올리기 ,엎드려 버티기,팔굽혀펴기 / 정리운동:걷기,달리기,트레드밀에서 걷기","F"
